Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
VW,Touran,2013,Black Metallic ,Diesel ,Automatic,1600,90000,private ,20/09/2016,110000
Skoda,Octavia,2012,Ferrani ,Diesel ,manuel,1600,90000,private ,21/09/2016,93000
Kia,Forte,2009,Black ,Petrol ,Automatic,1600,90000,private ,21/09/2016,68000
Kia,Cerato,2007,White ,Petrol ,Automatic,1600,90000,private ,21/09/2016,50000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1600,90000,private ,21/09/2016,44000
Ford,Fiesta,2012,Blue Cyan ,Petrol ,manuel,1250,90000,private ,22/09/2016,51000
Skoda,Octavia,2002,White ,Diesel ,manuel,1900,90000,Taxi ,25/09/2016,37000
Skoda,Octavia,2011,Blue ,Diesel ,manuel,1600,90000,private ,26/09/2016,90000
Toyota,Corolla,1999,Purple ,Petrol ,Automatic,1600,90000,private ,26/09/2016,45000
Opel,Astra,2012,Residential ,Petrol ,manuel,1600,91000,private ,22/09/2016,59000
Skoda,Octavia,2014,Black Metallic ,Diesel ,manuel,1600,91000,private ,24/09/2016,99000
Citroen,Berlingo,2013,Black Metallic ,Diesel ,manuel,1600,93000,private ,27/09/2016,80000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1400,94000,private ,20/09/2016,46000
Kia,Pride,2007,Silver ,Petrol ,Automatic,1400,94000,private ,22/09/2016,46000
BMW,520,2013,Ferrani ,Petrol ,Automatic,2000,94000,private ,25/09/2016,220000
Volkswagen,Tiguan,2013,White ,Petrol ,Automatic,2000,96000,private ,21/09/2016,130000
Mazda,3,2008,Golden ,Petrol ,Automatic,2000,97000,private ,26/09/2016,73000
Skoda,Octavia,2012,Gray ,Diesel ,manuel,1600,98000,private ,26/09/2016,96000
VW,Polo,2008,Gray ,Petrol ,manuel,1400,99654,private ,25/09/2016,53000
Volkswagen,Passat,2010,Black Metallic ,Diesel ,Automatic,1995,100000,private ,20/09/2016,95000
Hyundai,Tucson,2013,Gray ,Diesel ,Automatic,2000,100000,private ,20/09/2016,105000
Kia,Rio,2010,White ,Diesel ,manuel,1500,100000,Taxi ,21/09/2016,45000
Skoda,Octavia,2013,White ,Diesel ,manuel,1600,100000,private ,22/09/2016,96000
Hyundai,Tucson,2008,Silver ,Diesel ,Automatic,2000,100000,private ,24/09/2016,60000
Skoda,Roomster,2012,Black Metallic ,Diesel ,manuel,1600,100000,private ,24/09/2016,73000
Mitsubishi,Pajero,2009,White ,Diesel ,Automatic,3200,100000,private ,24/09/2016,160000
Hyundai,Tucson,2008,Silver ,Diesel ,Automatic,2000,100000,private ,25/09/2016,68000
Skoda,Octavia,2012,Black Metallic ,Diesel ,manuel,1600,100000,private ,25/09/2016,85000
Hyundai,Tucson,2008,Oily Color ,Diesel ,Automatic,2000,100000,private ,26/09/2016,68000
Kia,Forte,2008,Gray ,Petrol ,Automatic,1600,100000,private ,26/09/2016,58500
